Date,Currency,Exchange
2/7/2015,CAD,1.2445
2/7/2015,AUD,1.273
2/7/2015,EUR,0.8736
2/7/2015,GBP,0.6528
2/8/2015,USD,1
2/8/2015,CAD,1.2445
2/8/2015,AUD,1.273
2/8/2015,EUR,0.8736
2/8/2015,GBP,0.6528
2/9/2015,USD,1
2/9/2015,CAD,1.25
2/9/2015,AUD,1.2798
2/9/2015,EUR,0.8869
2/9/2015,GBP,0.6576
2/10/2015,USD,1
2/10/2015,CAD,1.2471
2/10/2015,AUD,1.2855
2/10/2015,EUR,0.8852
2/10/2015,GBP,0.6568
2/11/2015,USD,1
2/11/2015,CAD,1.2611
2/11/2015,AUD,1.291
2/11/2015,EUR,0.8839
2/11/2015,GBP,0.6537
2/12/2015,USD,1
2/12/2015,CAD,1.256
2/12/2015,AUD,1.3031
2/12/2015,EUR,0.8828
2/12/2015,GBP,0.6511
2/13/2015,USD,1
2/13/2015,CAD,1.2508
2/13/2015,AUD,1.2907
2/13/2015,EUR,0.8787
2/13/2015,GBP,0.6503
2/14/2015,USD,1
2/14/2015,CAD,1.2508
2/14/2015,AUD,1.2907
2/14/2015,EUR,0.8787
2/14/2015,GBP,0.6503
2/15/2015,USD,1
2/15/2015,CAD,1.2508
2/15/2015,AUD,1.2907
2/15/2015,EUR,0.8787
2/15/2015,GBP,0.6503
2/16/2015,USD,1
2/16/2015,CAD,1.2453
2/16/2015,AUD,1.2859
2/16/2015,EUR,0.8766
2/16/2015,GBP,0.6505
2/17/2015,USD,1
2/17/2015,CAD,1.2374
2/17/2015,AUD,1.2784
2/17/2015,EUR,0.876
2/17/2015,GBP,0.6512
2/18/2015,USD,1
2/18/2015,CAD,1.245
2/18/2015,AUD,1.2837
2/18/2015,EUR,0.8794
2/18/2015,GBP,0.6483
2/19/2015,USD,1
2/19/2015,CAD,1.252
2/19/2015,AUD,1.285
2/19/2015,EUR,0.8782
2/19/2015,GBP,0.648
2/20/2015,USD,1
2/20/2015,CAD,1.2456
2/20/2015,AUD,1.2745
2/20/2015,EUR,0.8851
2/20/2015,GBP,0.6504
2/21/2015,USD,1
2/21/2015,CAD,1.2456
2/21/2015,AUD,1.2745
2/21/2015,EUR,0.8851
2/21/2015,GBP,0.6504
2/22/2015,USD,1
2/22/2015,CAD,1.2456
2/22/2015,AUD,1.2745
2/22/2015,EUR,0.8851
2/22/2015,GBP,0.6504
2/23/2015,USD,1
2/23/2015,CAD,1.2618
2/23/2015,AUD,1.2843
2/23/2015,EUR,0.8851
2/23/2015,GBP,0.6507
2/24/2015,USD,1
2/24/2015,CAD,1.2643
2/24/2015,AUD,1.2896
2/24/2015,EUR,0.8828
2/24/2015,GBP,0.6483
2/25/2015,USD,1
2/25/2015,CAD,1.2441
2/25/2015,AUD,1.2681
2/25/2015,EUR,0.8814
2/25/2015,GBP,0.6459
2/26/2015,USD,1
2/26/2015,CAD,1.247
2/26/2015,AUD,1.2686
2/26/2015,EUR,0.8836
2/26/2015,GBP,0.6451
2/27/2015,USD,1
2/27/2015,CAD,1.2451
2/27/2015,AUD,1.2774
2/27/2015,EUR,0.8897
2/27/2015,GBP,0.6475
2/28/2015,USD,1
2/28/2015,CAD,1.2451
2/28/2015,AUD,1.2774
2/28/2015,EUR,0.8897
2/28/2015,GBP,0.6475
3/1/2015,USD,1
3/1/2015,CAD,1.2451
3/1/2015,AUD,1.2774
3/1/2015,EUR,0.8897
3/1/2015,GBP,0.6475
3/2/2015,USD,1
3/2/2015,CAD,1.2492
3/2/2015,AUD,1.2856
3/2/2015,EUR,0.8907
3/2/2015,GBP,0.6497
3/3/2015,USD,1
3/3/2015,CAD,1.2519
3/3/2015,AUD,1.2794
3/3/2015,EUR,0.8954
3/3/2015,GBP,0.6515
3/4/2015,USD,1
3/4/2015,CAD,1.2515
3/4/2015,AUD,1.2757
3/4/2015,EUR,0.899
3/4/2015,GBP,0.6526
3/5/2015,USD,1
3/5/2015,CAD,1.244
3/5/2015,AUD,1.2833
3/5/2015,EUR,0.9034
3/5/2015,GBP,0.6551
3/6/2015,USD,1
3/6/2015,CAD,1.2466
3/6/2015,AUD,1.2761
3/6/2015,EUR,0.9122
3/6/2015,GBP,0.6586
3/7/2015,USD,1
3/7/2015,CAD,1.2466
3/7/2015,AUD,1.2761
3/7/2015,EUR,0.9122
3/7/2015,GBP,0.6586
3/8/2015,USD,1
3/8/2015,CAD,1.2466
3/8/2015,AUD,1.2761
3/8/2015,EUR,0.9122
3/8/2015,GBP,0.6586
3/9/2015,USD,1
3/9/2015,CAD,1.2591
3/9/2015,AUD,1.2931
3/9/2015,EUR,0.9208
3/9/2015,GBP,0.6617
3/10/2015,USD,1
3/10/2015,CAD,1.2634
3/10/2015,AUD,1.3069
3/10/2015,EUR,0.9313
3/10/2015,GBP,0.6638
3/11/2015,USD,1
3/11/2015,CAD,1.2698
3/11/2015,AUD,1.314
3/11/2015,EUR,0.9454
3/11/2015,GBP,0.6651
3/12/2015,USD,1
3/12/2015,CAD,1.2656
3/12/2015,AUD,1.2976
3/12/2015,EUR,0.9422
3/12/2015,GBP,0.6681
3/13/2015,USD,1
3/13/2015,CAD,1.2734
3/13/2015,AUD,1.3053
3/13/2015,EUR,0.9459
3/13/2015,GBP,0.6766
3/14/2015,USD,1
3/14/2015,CAD,1.2734
3/14/2015,AUD,1.3053
3/14/2015,EUR,0.9459
3/14/2015,GBP,0.6766
3/15/2015,USD,1
3/15/2015,CAD,1.2734
3/15/2015,AUD,1.3053
3/15/2015,EUR,0.9459
3/15/2015,GBP,0.6766
3/16/2015,USD,1
3/16/2015,CAD,1.2781
3/16/2015,AUD,1.3069
3/16/2015,EUR,0.9472
3/16/2015,GBP,0.6755
3/17/2015,USD,1
3/17/2015,CAD,1.2774
3/17/2015,AUD,1.3083
3/17/2015,EUR,0.9403
3/17/2015,GBP,0.677
3/18/2015,USD,1
3/18/2015,CAD,1.2824
3/18/2015,AUD,1.3124
3/18/2015,EUR,0.9441
3/18/2015,GBP,0.6826
3/19/2015,USD,1
3/19/2015,CAD,1.2717
3/19/2015,AUD,1.308
3/19/2015,EUR,0.9366
3/19/2015,GBP,0.6728
3/20/2015,USD,1
3/20/2015,CAD,1.2672
3/20/2015,AUD,1.2981
3/20/2015,EUR,0.928
3/20/2015,GBP,0.6733
3/21/2015,USD,1
3/21/2015,CAD,1.2672
3/21/2015,AUD,1.2981
3/21/2015,EUR,0.928
3/21/2015,GBP,0.6733
3/22/2015,USD,1
3/22/2015,CAD,1.2672
3/22/2015,AUD,1.2981
3/22/2015,EUR,0.928
3/22/2015,GBP,0.6733
3/23/2015,USD,1
3/23/2015,CAD,1.2525
3/23/2015,AUD,1.2773
3/23/2015,EUR,0.9164
3/23/2015,GBP,0.6706
3/24/2015,USD,1
3/24/2015,CAD,1.2465
3/24/2015,AUD,1.2642
3/24/2015,EUR,0.9132
3/24/2015,GBP,0.6707
3/25/2015,USD,1
3/25/2015,CAD,1.2482
3/25/2015,AUD,1.2676
3/25/2015,EUR,0.9103
3/25/2015,GBP,0.6705
3/26/2015,USD,1
3/26/2015,CAD,1.2442
3/26/2015,AUD,1.2749
3/26/2015,EUR,0.9113
3/26/2015,GBP,0.6717
3/27/2015,USD,1
3/27/2015,CAD,1.2509
3/27/2015,AUD,1.2841
3/27/2015,EUR,0.9211
3/27/2015,GBP,0.6723
3/28/2015,USD,1
3/28/2015,CAD,1.2509
3/28/2015,AUD,1.2841
3/28/2015,EUR,0.9211
3/28/2015,GBP,0.6723
3/29/2015,USD,1
3/29/2015,CAD,1.2509
3/29/2015,AUD,1.2841
3/29/2015,EUR,0.9211
3/29/2015,GBP,0.6723
3/30/2015,USD,1
3/30/2015,CAD,1.2641
3/30/2015,AUD,1.3055
3/30/2015,EUR,0.9221
3/30/2015,GBP,0.6757
3/31/2015,USD,1
3/31/2015,CAD,1.2769
3/31/2015,AUD,1.3155
3/31/2015,EUR,0.9295
3/31/2015,GBP,0.676
4/1/2015,USD,1
4/1/2015,CAD,1.2675
4/1/2015,AUD,1.3159
4/1/2015,EUR,0.9298
4/1/2015,GBP,0.6774
4/2/2015,USD,1
4/2/2015,CAD,1.2644
4/2/2015,AUD,1.3244
4/2/2015,EUR,0.9234
4/2/2015,GBP,0.6755
4/3/2015,USD,1
4/3/2015,CAD,1.2644
4/3/2015,AUD,1.3244
4/3/2015,EUR,0.9234
4/3/2015,GBP,0.6755
4/4/2015,USD,1
4/4/2015,CAD,1.2644
4/4/2015,AUD,1.3244
4/4/2015,EUR,0.9234
4/4/2015,GBP,0.6755
4/5/2015,USD,1
4/5/2015,CAD,1.2644
4/5/2015,AUD,1.3244
4/5/2015,EUR,0.9234
4/5/2015,GBP,0.6755
4/6/2015,USD,1
4/6/2015,CAD,1.2644
4/6/2015,AUD,1.3244
4/6/2015,EUR,0.9234
4/6/2015,GBP,0.6755
4/7/2015,USD,1
4/7/2015,CAD,1.2504
4/7/2015,AUD,1.3084
4/7/2015,EUR,0.9219
4/7/2015,GBP,0.6717
4/8/2015,USD,1
4/8/2015,CAD,1.2417
4/8/2015,AUD,1.2961
4/8/2015,EUR,0.9206
4/8/2015,GBP,0.6688
4/9/2015,USD,1
4/9/2015,CAD,1.2524
4/9/2015,AUD,1.2949
4/9/2015,EUR,0.9282
4/9/2015,GBP,0.6746
4/10/2015,USD,1
4/10/2015,CAD,1.2664
4/10/2015,AUD,1.3079
4/10/2015,EUR,0.9461
4/10/2015,GBP,0.6853
4/11/2015,USD,1
4/11/2015,CAD,1.2664
4/11/2015,AUD,1.3079
4/11/2015,EUR,0.9461
4/11/2015,GBP,0.6853
4/12/2015,USD,1
4/12/2015,CAD,1.2664
4/12/2015,AUD,1.3079
4/12/2015,EUR,0.9461
4/12/2015,GBP,0.6853
4/13/2015,USD,1
4/13/2015,CAD,1.2627
4/13/2015,AUD,1.3197
4/13/2015,EUR,0.9477
4/13/2015,GBP,0.6838
4/14/2015,USD,1
4/14/2015,CAD,1.2582
4/14/2015,AUD,1.3192
4/14/2015,EUR,0.9466
4/14/2015,GBP,0.6832
4/15/2015,USD,1
4/15/2015,CAD,1.255
4/15/2015,AUD,1.3182
4/15/2015,EUR,0.9453
4/15/2015,GBP,0.6776
4/16/2015,USD,1
4/16/2015,CAD,1.2305
4/16/2015,AUD,1.2875
4/16/2015,EUR,0.9336
4/16/2015,GBP,0.6712
4/17/2015,USD,1
4/17/2015,CAD,1.2191
4/17/2015,AUD,1.28
4/17/2015,EUR,0.9247
4/17/2015,GBP,0.6657
4/18/2015,USD,1
4/18/2015,CAD,1.2191
4/18/2015,AUD,1.28
4/18/2015,EUR,0.9247
4/18/2015,GBP,0.6657
4/19/2015,USD,1
4/19/2015,CAD,1.2191
4/19/2015,AUD,1.28
4/19/2015,EUR,0.9247
4/19/2015,GBP,0.6657
4/20/2015,USD,1
4/20/2015,CAD,1.2252
4/20/2015,AUD,1.2891
4/20/2015,EUR,0.9326
4/20/2015,GBP,0.671
4/21/2015,USD,1
4/21/2015,CAD,1.2229
4/21/2015,AUD,1.2917
4/21/2015,EUR,0.9346
4/21/2015,GBP,0.6717
4/22/2015,USD,1
4/22/2015,CAD,1.2242
4/22/2015,AUD,1.2842
4/22/2015,EUR,0.9308
4/22/2015,GBP,0.6636
4/23/2015,USD,1
4/23/2015,CAD,1.2226
4/23/2015,AUD,1.2938
4/23/2015,EUR,0.9283
4/23/2015,GBP,0.6656
4/24/2015,USD,1
4/24/2015,CAD,1.2119
4/24/2015,AUD,1.2827
4/24/2015,EUR,0.9239
4/24/2015,GBP,0.6614
4/25/2015,USD,1
4/25/2015,CAD,1.2119
4/25/2015,AUD,1.2827
4/25/2015,EUR,0.9239
4/25/2015,GBP,0.6614
4/26/2015,USD,1
4/26/2015,CAD,1.2119
4/26/2015,AUD,1.2827
4/26/2015,EUR,0.9239
4/26/2015,GBP,0.6614
4/27/2015,USD,1
4/27/2015,CAD,1.2156
4/27/2015,AUD,1.2814
4/27/2015,EUR,0.924
4/27/2015,GBP,0.6618
4/28/2015,USD,1
4/28/2015,CAD,1.2069
4/28/2015,AUD,1.2585
4/28/2015,EUR,0.9152
4/28/2015,GBP,0.6543
4/29/2015,USD,1
4/29/2015,CAD,1.2054
4/29/2015,AUD,1.2509
4/29/2015,EUR,0.9089
4/29/2015,GBP,0.6509
4/30/2015,USD,1
4/30/2015,CAD,1.202
4/30/2015,AUD,1.2627
4/30/2015,EUR,0.8917
4/30/2015,GBP,0.648
5/1/2015,USD,1
5/1/2015,CAD,1.202
5/1/2015,AUD,1.2627
5/1/2015,EUR,0.8917
5/1/2015,GBP,0.648
5/2/2015,USD,1
5/2/2015,CAD,1.202
5/2/2015,AUD,1.2627
5/2/2015,EUR,0.8917
5/2/2015,GBP,0.648
5/3/2015,USD,1
5/3/2015,CAD,1.202
5/3/2015,AUD,1.2627
5/3/2015,EUR,0.8917
5/3/2015,GBP,0.648
5/4/2015,USD,1
5/4/2015,CAD,1.2116
5/4/2015,AUD,1.2756
5/4/2015,EUR,0.8967
5/4/2015,GBP,0.6617
5/5/2015,USD,1
5/5/2015,CAD,1.209
5/5/2015,AUD,1.27
5/5/2015,EUR,0.8995
5/5/2015,GBP,0.6611
5/6/2015,USD,1
5/6/2015,CAD,1.201
5/6/2015,AUD,1.2493
5/6/2015,EUR,0.8905
5/6/2015,GBP,0.6568
5/7/2015,USD,1
5/7/2015,CAD,1.207
5/7/2015,AUD,1.2548
5/7/2015,EUR,0.8846
5/7/2015,GBP,0.6568
5/8/2015,USD,1
5/8/2015,CAD,1.2103
5/8/2015,AUD,1.2638
5/8/2015,EUR,0.8912
5/8/2015,GBP,0.6488
5/9/2015,USD,1
5/9/2015,CAD,1.2103
5/9/2015,AUD,1.2638
5/9/2015,EUR,0.8912
5/9/2015,GBP,0.6488
5/10/2015,USD,1
5/10/2015,CAD,1.2103
5/10/2015,AUD,1.2638
5/10/2015,EUR,0.8912
5/10/2015,GBP,0.6488
5/11/2015,USD,1
5/11/2015,CAD,1.2114
5/11/2015,AUD,1.267
5/11/2015,EUR,0.8975
5/11/2015,GBP,0.6458
5/12/2015,USD,1
5/12/2015,CAD,1.204
5/12/2015,AUD,1.2519
5/12/2015,EUR,0.8898
5/12/2015,GBP,0.6374
5/13/2015,USD,1
5/13/2015,CAD,1.1974
5/13/2015,AUD,1.2428
5/13/2015,EUR,0.8912
5/13/2015,GBP,0.6393
5/14/2015,USD,1
5/14/2015,CAD,1.1949
5/14/2015,AUD,1.2336
5/14/2015,EUR,0.8757
5/14/2015,GBP,0.6332
5/15/2015,USD,1
5/15/2015,CAD,1.2037
5/15/2015,AUD,1.2499
5/15/2015,EUR,0.8828
5/15/2015,GBP,0.6366
5/16/2015,USD,1
5/16/2015,CAD,1.2037
5/16/2015,AUD,1.2499
5/16/2015,EUR,0.8828
5/16/2015,GBP,0.6366
5/17/2015,USD,1
5/17/2015,CAD,1.2037
5/17/2015,AUD,1.2499
5/17/2015,EUR,0.8828
5/17/2015,GBP,0.6366
5/18/2015,USD,1
5/18/2015,CAD,1.2058
5/18/2015,AUD,1.2493
5/18/2015,EUR,0.878
5/18/2015,GBP,0.6383
5/19/2015,USD,1
5/19/2015,CAD,1.2181
5/19/2015,AUD,1.2547
5/19/2015,EUR,0.8945
5/19/2015,GBP,0.6457
5/20/2015,USD,1
5/20/2015,CAD,1.2213
5/20/2015,AUD,1.2655
5/20/2015,EUR,0.8994
5/20/2015,GBP,0.6437
5/21/2015,USD,1
5/21/2015,CAD,1.2216
5/21/2015,AUD,1.2676
5/21/2015,EUR,0.8982
5/21/2015,GBP,0.6377
5/22/2015,USD,1
5/22/2015,CAD,1.22
5/22/2015,AUD,1.2686
5/22/2015,EUR,0.8957
5/22/2015,GBP,0.6394
5/23/2015,USD,1
5/23/2015,CAD,1.22
5/23/2015,AUD,1.2686
5/23/2015,EUR,0.8957
5/23/2015,GBP,0.6394
5/24/2015,USD,1
5/24/2015,CAD,1.22
5/24/2015,AUD,1.2686
5/24/2015,EUR,0.8957
5/24/2015,GBP,0.6394
5/25/2015,USD,1
5/25/2015,CAD,1.2294
5/25/2015,AUD,1.2774
5/25/2015,EUR,0.9109
5/25/2015,GBP,0.6467
5/26/2015,USD,1
5/26/2015,CAD,1.2374
5/26/2015,AUD,1.2832
5/26/2015,EUR,0.9152
5/26/2015,GBP,0.6495
5/27/2015,USD,1
5/27/2015,CAD,1.2456
5/27/2015,AUD,1.297
5/27/2015,EUR,0.9206
5/27/2015,GBP,0.6508
5/28/2015,USD,1
5/28/2015,CAD,1.2476
5/28/2015,AUD,1.3094
5/28/2015,EUR,0.9178
5/28/2015,GBP,0.6538
5/29/2015,USD,1
5/29/2015,CAD,1.2443
5/29/2015,AUD,1.307
5/29/2015,EUR,0.9116
5/29/2015,GBP,0.6554
5/30/2015,USD,1
5/30/2015,CAD,1.2443
5/30/2015,AUD,1.307
5/30/2015,EUR,0.9116
5/30/2015,GBP,0.6554
5/31/2015,USD,1
5/31/2015,CAD,1.2443
5/31/2015,AUD,1.307
5/31/2015,EUR,0.9116
5/31/2015,GBP,0.6554
6/1/2015,USD,1
6/1/2015,CAD,1.2494
6/1/2015,AUD,1.3104
6/1/2015,EUR,0.9137
6/1/2015,GBP,0.6572
6/2/2015,USD,1
6/2/2015,CAD,1.2498
6/2/2015,AUD,1.3004
6/2/2015,EUR,0.9067
6/2/2015,GBP,0.6567
6/3/2015,USD,1
6/3/2015,CAD,1.2445
6/3/2015,AUD,1.2862
6/3/2015,EUR,0.8981
6/3/2015,GBP,0.6534
6/4/2015,USD,1
6/4/2015,CAD,1.2449
6/4/2015,AUD,1.2917
6/4/2015,EUR,0.8836
6/4/2015,GBP,0.6498
6/5/2015,USD,1
6/5/2015,CAD,1.25
6/5/2015,AUD,1.2956
6/5/2015,EUR,0.8914
6/5/2015,GBP,0.6523
6/6/2015,USD,1
6/6/2015,CAD,1.25
6/6/2015,AUD,1.2956
6/6/2015,EUR,0.8914
6/6/2015,GBP,0.6523
6/7/2015,USD,1
6/7/2015,CAD,1.25
6/7/2015,AUD,1.2956
6/7/2015,EUR,0.8914
6/7/2015,GBP,0.6523
6/8/2015,USD,1
6/8/2015,CAD,1.2434
6/8/2015,AUD,1.3094
6/8/2015,EUR,0.8959
6/8/2015,GBP,0.6556
6/9/2015,USD,1
6/9/2015,CAD,1.2347
6/9/2015,AUD,1.2984
6/9/2015,EUR,0.889
6/9/2015,GBP,0.6537
6/10/2015,USD,1
6/10/2015,CAD,1.2236
6/10/2015,AUD,1.2919
6/10/2015,EUR,0.8866
6/10/2015,GBP,0.6458
6/11/2015,USD,1
6/11/2015,CAD,1.2321
6/11/2015,AUD,1.2939
6/11/2015,EUR,0.8903
6/11/2015,GBP,0.6469
6/12/2015,USD,1
6/12/2015,CAD,1.2303
6/12/2015,AUD,1.2977
6/12/2015,EUR,0.8913
6/12/2015,GBP,0.6457
6/13/2015,USD,1
6/13/2015,CAD,1.2303
6/13/2015,AUD,1.2977
6/13/2015,EUR,0.8913
6/13/2015,GBP,0.6457
6/14/2015,USD,1
6/14/2015,CAD,1.2303
6/14/2015,AUD,1.2977
6/14/2015,EUR,0.8913
6/14/2015,GBP,0.6457
6/15/2015,USD,1
6/15/2015,CAD,1.2342
6/15/2015,AUD,1.2895
6/15/2015,EUR,0.8914
6/15/2015,GBP,0.6449
6/16/2015,USD,1
6/16/2015,CAD,1.2343
6/16/2015,AUD,1.2913
6/16/2015,EUR,0.8917
6/16/2015,GBP,0.6404
6/17/2015,USD,1
6/17/2015,CAD,1.2312
6/17/2015,AUD,1.3028
6/17/2015,EUR,0.8866
6/17/2015,GBP,0.6357
6/18/2015,USD,1
6/18/2015,CAD,1.216
6/18/2015,AUD,1.2776
6/18/2015,EUR,0.8769
6/18/2015,GBP,0.6285
6/19/2015,USD,1
6/19/2015,CAD,1.2271
6/19/2015,AUD,1.2914
6/19/2015,EUR,0.885
6/19/2015,GBP,0.6314
6/20/2015,USD,1
6/20/2015,CAD,1.2271
6/20/2015,AUD,1.2914
6/20/2015,EUR,0.885
6/20/2015,GBP,0.6314
6/21/2015,USD,1
6/21/2015,CAD,1.2271
6/21/2015,AUD,1.2914
6/21/2015,EUR,0.885
6/21/2015,GBP,0.6314
6/22/2015,USD,1
6/22/2015,CAD,1.2234
6/22/2015,AUD,1.2883
6/22/2015,EUR,0.8814
6/22/2015,GBP,0.6319
6/23/2015,USD,1
6/23/2015,CAD,1.2339
6/23/2015,AUD,1.2976
6/23/2015,EUR,0.8925
6/23/2015,GBP,0.6338
6/24/2015,USD,1
6/24/2015,CAD,1.2301
6/24/2015,AUD,1.2907
6/24/2015,EUR,0.8918
6/24/2015,GBP,0.6348
6/25/2015,USD,1
6/25/2015,CAD,1.2384
6/25/2015,AUD,1.2919
6/25/2015,EUR,0.8924
6/25/2015,GBP,0.6359
6/26/2015,USD,1
6/26/2015,CAD,1.2365
6/26/2015,AUD,1.3061
6/26/2015,EUR,0.8927
6/26/2015,GBP,0.6359
6/27/2015,USD,1
6/27/2015,CAD,1.2365
6/27/2015,AUD,1.3061
6/27/2015,EUR,0.8927
6/27/2015,GBP,0.6359
6/28/2015,USD,1
6/28/2015,CAD,1.2365
6/28/2015,AUD,1.3061
6/28/2015,EUR,0.8927
6/28/2015,GBP,0.6359
6/29/2015,USD,1
6/29/2015,CAD,1.2374
6/29/2015,AUD,1.3048
6/29/2015,EUR,0.8982
6/29/2015,GBP,0.6364
6/30/2015,USD,1
6/30/2015,CAD,1.2368
6/30/2015,AUD,1.3004
6/30/2015,EUR,0.8937
6/30/2015,GBP,0.6358
7/1/2015,USD,1
7/1/2015,CAD,1.2524
7/1/2015,AUD,1.3025
7/1/2015,EUR,0.9009
7/1/2015,GBP,0.6388
7/2/2015,USD,1
7/2/2015,CAD,1.2618
7/2/2015,AUD,1.3169
7/2/2015,EUR,0.9037
7/2/2015,GBP,0.6419
7/3/2015,USD,1
7/3/2015,CAD,1.2582
7/3/2015,AUD,1.329
7/3/2015,EUR,0.9012
7/3/2015,GBP,0.6401
7/4/2015,USD,1
7/4/2015,CAD,1.2582
7/4/2015,AUD,1.329
7/4/2015,EUR,0.9012
